,canton_code,canton,,,,
,AG,Aargau, ,,,
,AI,Appenzell Inner Rhoden,,,,
,AR,Appenzell Outer Rhoden, ,,,
,BS,Basel-City,,,,
,BL,Basel-Country, ,,,
,BE,Bern,,,,
,FR,Fribourg, ,,,
,GE,Geneva,,,,
,GL,Glarus, ,,,
,GR,Grisons,,,,
,JU,Jura, ,,,
,LU,Lucerne,,,,
,NE,Neuchatel, ,,,
,NW,Nidwalden,,,,
,OW,Obwalden, ,,,
,SH,Schaffhausen, ,,,
,SZ,Schwyz, ,,,
,SO,Solothurn,,,,
,SG,Saint Gallen,,,,
,TG,Thurgau,,,,
,TI,Ticino, ,,,
,UR,Uri,,,,
,VS,Valais,,,,
,VD,Vaud, ,,,
,ZG,Zug, ,,,
,ZH,Zurich,,,,